year_month,region,かずら橋,まちの市場,龍双ヶ滝,ツリーピクニックアドベンチャーいけだ,能面美術館,森林與河川散步道,越前そばの里,タケフナイフビレッジ,岡太神社・大瀧神社,越前和紙の里,御誕生寺,小次郎公園,万葉の里 味真野苑（ミズバショウ・フジ・スイレン・ハギ）,呼鳥門,紫式部公園,味真野苑,花筐公園,紙文化博物館,万葉の里,青葉山ハーバルビレッジ,若狭和田ビーチ,中山寺,若狭たかはま エルどらんど,UMIKARA,青葉山,花はす公園,道の駅「河野」,今庄宿,道の駅「南えちぜん山海里」,道の駅「若狭おばま」,若狭おばま,蘇洞門,若狭塗箸施設,羽賀寺,若狭歴史博物館,小浜市水産食品センター（若狭小浜お魚センター）,神宮寺,若狭フィッシャーマンズワーフ,多田寺,明通寺,阿納海水浴場,三丁町,国分寺,若狹小濱魚市,鵜之瀬公園,松永六感藤屋,田烏梯田,Fukui Prefectural Wakasa History Museum,きのこの森,エルガイアおおい,福井県こども家族館,道の駅「名田庄」,道の駅「うみんぴあ大飯」,赤礁崎オートキャンプ場,ホテルうみんぴあ,東尋坊,Fukui Prefectural Green Center,福井県児童科学館,Angel Land Fukui,三国湊町散策,三国湊,芝政ワールド,丸岡城,ゆりの里公園ユリーム春江,ふれあいパーク三里浜(道の駅「みくに」),瀧谷寺,休暇村越前三国オートキャンプ場,浜地海水浴場,越前松島水族館,三国サンセットビーチ,三國神社,雄島,Brief Message from the Heart Museum,越前海岸,あさくら水の駅,足羽山公園,福福館,健康の森温泉,セーレンプラネット,越前水仙の里温泉波の華,越廼海水浴場,ガラガラ山キャンプ場,大安禅寺,安田かまぼこ道場,コスモス広苑,鷹巣海水浴場,養浩館庭園,グリフィス記念館,一乗谷朝倉氏遺跡,足羽川桜並木,福井駅,越前水仙の里公園,北の庄城址,柴田公園,永平寺,福井城跡,福井神社,福井市美術館,福井縣立歷史博物館,兔越民家園,佐佳枝廼社,柴田神社,福井市立鄉土歷史博物館,片町和濱町,宮下大波斯菊公苑,福井市中央公園,道の駅「越前おおの荒島の郷」,越前おおの荒島の郷,九頭竜湖,六呂師高原,道の駅｢九頭竜｣,九頭竜,九頭竜スキー場,宝慶寺,越前大野城,福井和泉スキー場,道の駅「九頭竜・和泉ふれあい会館」,刈込池,重右衛門,越前大野冬物語,酵素風呂,恐竜博物館・かつやま恐竜の森,恐竜博物館,道の駅「恐竜渓谷かつやま」,恐竜渓谷かつやま,スキージャム勝山,越前大仏,勝山城博物館,野外恐竜博物館,はたや記念館 ゆめおーれ勝山,かつやまディノパーク,白山平泉寺歴史探遊館 まほろば,平泉寺白山神社,日本海さかな街,氣比神宮,金崎宮,敦賀赤レンガ倉庫,あっとほうむ,気比の松原,松原海水浴場,小牧かまぼこ,敦賀鉄道資料館（旧敦賀港駅舎）,金ヶ崎城跡,Port of Humanity Tsuruga Museum,Mizu Island,西福寺,敦賀駅,紙人偶資料館,大本山永平寺,道の駅「禅の里」,禅の里,永平寺温泉「禅の里」,永平寺温泉,西山動物園,めがねミュージアム,道の駅「西山公園」,越前漆之鄉會館,越前陶芸村,越前岬,道の駅「パークイン丹生ヶ丘」,越前がにミュージアム,道の駅「越前」,劔神社,道の駅「三方五湖」,若狭三方縄文博物館,熊川宿,福井県年縞博物館,福井県海浜自然センター,道の駅「若狭熊川宿」,Asoboya 趣遊,あわら温泉「芦湯」,藤野厳九郎記念館,あわら温泉屋台村「湯けむり横丁」,ファーマーズマーケットきららの丘,あわら温泉街,吉崎御坊跡,金津創作の森,北潟湖,Sentopia 蘆原,Kitagatakohan Koen Cycling Park,Echizen-Kaga Boundary Centre,湯けむり横丁,Kirara-no-oka,北潟湖畔公園,水晶浜海水浴場,五湖の駅,若狭海遊バザール千鳥苑 若狭美浜 海の駅,レインボーライン,三方五湖
2022-03,池田町,41.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04,池田町,171.0,0.0,0.0,22.0,69.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05,池田町,255.0,0.0,0.0,15.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06,池田町,168.0,6.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07,池田町,216.0,5.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08,池田町,258.0,0.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09,池田町,185.0,0.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10,池田町,248.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,池田町,163.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12,池田町,111.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
